STATE_NAME,NAME,KEY,ID,rate_brcamort9397,MDratio,hosp,hosponc,scrnmamm,pcturban,urbrural,pcincome,pctpoor,pctlt9ed,pcthsed,pctcoled,unemploy,homevalu,rent,pop96,mammog2ysm,SmokecurF,SmokevrF,Obese,Noins
Indiana,Noble,670,722,28.6,51.36,2.45,2.41,2.5,29.6,6,19710,8,10.2,72.1,8,3.7,48600,332,41449,0.46,0.24,0.46,0.32,0.12
Indiana,"De Kalb",671,682,22.8,60.6,2.63,0,2.67,49.1,2,20846,6.5,7.3,77.5,9.9,3.9,50100,345,38272,0.28,0.25,0.48,0.33,0.13
"New York",Putnam,672,1838,30.8,146.15,2.21,0,3.36,44.4,1,28914,3.6,4.4,86.5,27.8,3.9,194600,765,90983,0.55,0.18,0.38,0.3,0.21
Nebraska,Nance,673,1686,14,23.58,23.58,0,0,0,9,17033,12.5,17.1,71,10.7,2.7,23900,235,4293,0.63,0.22,0.45,0.33,0.08
Ohio,Lorain,674,2061,30.1,111.92,1.42,1.42,4.65,86.4,0,21254,11.5,7.3,75.3,12.3,6.4,65700,378,281231,0.83,0.24,0.5,0.39,0.12
Iowa,Mahaska,675,819,29.7,72.97,4.56,4.6,4.6,49.4,7,18065,13,14.3,74.8,13.1,3.5,36700,289,21757,0.46,0.19,0.37,0.35,0.09
Iowa,Pottawattamie,676,835,24.2,119.47,2.39,2.35,2.4,72.5,2,19153,10.5,8.8,77.1,11,3.2,46300,371,84939,0.54,0.19,0.34,0.34,0.1
Iowa,Washington,677,849,14.4,68.27,4.88,0,4.93,36.1,6,19519,9.5,13.5,76.9,11.7,3.1,42800,297,20706,0.55,0.24,0.46,0.36,0.1
Iowa,Marion,678,820,16.4,73.95,9.65,3.19,6.52,58.3,6,20425,10,14.8,73.7,12.9,3.3,48800,323,31359,0.57,0.19,0.43,0.35,0.1
Iowa,Madison,679,818,20.9,14.83,7.41,7.32,7.67,33.6,6,18456,11.1,8.1,81.6,12,4.3,42300,294,13663,0.46,0.24,0.34,0.35,0.1
Iowa,Warren,680,848,23.9,20.54,0,0,0,60.1,2,20135,6.3,4.9,87,16.2,2.3,59400,348,39386,0.46,0.2,0.35,0.36,0.09
Iowa,Keokuk,681,811,10.8,25.94,8.65,0,0,0,9,16240,13.1,12,76.8,9.4,4.7,23900,250,11594,0.53,0.18,0.37,0.37,0.08
Iowa,Cass,682,772,20.2,86.4,6.65,6.7,6.62,49.1,6,18339,11.5,9.7,80.7,12.5,4.5,34800,273,14930,0.54,0.19,0.39,0.37,0.07
Iowa,Adair,683,758,15.1,12.07,12.07,12.16,0,0,8,16417,13.4,11.5,77.5,9.8,3.4,29800,240,8224,0.46,0.22,0.45,0.39,0.11
Ohio,Sandusky,684,2086,27.7,61.91,3.17,3.19,3.19,53.8,4,19655,9,7.8,76.6,10.7,5.4,57300,365,62732,0.43,0.27,0.33,0.42,0.26
Ohio,Trumbull,685,2092,25.1,98.94,1.31,0.88,1.75,72,2,21826,11.4,7.9,75.2,11.4,6.5,53200,346,227069,0.54,0.29,0.5,0.32,0.14
Pennsylvania,Mercer,686,2258,24,135.78,2.45,1.64,4.91,51,3,18498,12.8,9.1,75.1,13.6,5.1,41800,321,122155,0.46,0.22,0.42,0.38,0.08
Indiana,Marshall,687,715,25.2,73.53,6.68,0,6.79,30.9,6,19536,7.5,8.8,74,12.3,3.4,49500,362,45173,0.46,0.19,0.42,0.33,0.11
Ohio,Henry,688,2049,31.3,40.25,3.35,3.34,3.38,30.5,6,20590,7,10.1,75.4,10.3,5.5,55300,336,29901,0.44,0.23,0.48,0.38,0.12
Pennsylvania,Clinton,689,2233,24.2,99.42,5.37,0,2.67,24.8,6,17071,15.4,9.1,72.5,11.7,9.6,46400,295,37130,0.47,0.23,0.43,0.38,0.1
Massachusetts,Dukes,690,1189,21.8,203,7.81,7.54,0,0,9,27643,6.7,3.1,90.4,32.1,5.7,197400,647,13259,0.54,0.2,0.45,0.34,0.1
Illinois,Grundy,691,595,20.7,73.95,2.84,2.8,0,49.2,1,23847,6.6,8.4,79,12.5,7.6,71300,410,35712,0.56,0.23,0.46,0.39,0.17
